player,role,hero,hero role,cfp,time_in_sec,rating,winrate,tierate,lossrate,fwin,ftie,floss,ptk,ptk_comp_to_avg,kills_per_10,kills_per_10_comp_to_avg,deaths_per_10,deaths_per_10_comp_to_avg,ults_per_10,ults_per_10_comp_to_avg,ttcu,ttcu_comp_to_avg,kpu,kpu_comp_to_avg,ult_eff,ult_eff_comp_to_avg,fights_fought,first_kills,first_kills_comp_to_avg,first_deaths,first_deaths_comp_to_avg,hsk,hsk_comp_to_avg,ult_kills,ult_kills_comp_to_avg,ttcfu,ttcfu_comp_to_avg,tuh,tuh_comp_to_avg,uoof,uoof_comp_to_avg
Fury,Flex,Roadhog,tank,90,2420,1198,1,0,0,0.849,0.038,0.113,0.214,-0.11,9.42,0.19,3.22,-0.44,3.47,0.17,98,-0.09,0,0,-21.3,-5.84,53,0.113,-0.24,0.094,0.07,0,0,0,0,113,0,40,0.37,0.077,-0.1
Boombox,Support,Zenyatta,support,112,31109,1043,0.54,0.03,0.43,0.464,0.054,0.482,0.091,-0.13,3.3,-0.11,6.19,0,4.01,0.17,96,-0.06,0,0,6,-0.05,625,0.048,-0.13,0.104,-0.02,0,0,0,0,100,-0.05,34,0.13,0.05,-0.38
Boombox,Support,Mercy,support,73,2674,1139,0.37,0,0.63,0.455,0.018,0.527,0.006,-0.23,0.22,-0.13,4.26,-0.15,4.26,0.14,95,-0.01,0,0,4.5,0,55,0,0,0.073,0.14,0,0,0,0,86,-0.06,15,-0.51,0,0
Boombox,Support,Moira,support,12,1502,1322,0.84,0,0.16,0.714,0.036,0.25,0.096,0.1,3.6,0.23,3.2,-0.44,5.59,0.04,57,-0.12,0,0,17.5,0.92,28,0,0,0.071,-0.25,0,0,0,0,53,-0.1,15,-0.13,0.286,1.13
Gido,flex,Zenyatta,support,112,4977,861,0.16,0.21,0.63,0.406,0.079,0.515,0.089,-0.15,2.77,-0.25,7.35,0.18,3.86,0.12,100,-0.01,0,0,-4.9,-1.78,101,0.05,-0.09,0.129,0.22,0,0,0,0,97,-0.08,35,0.18,0.031,-0.62
BigG00se,Support,Mercy,support,73,24629,993,0.31,0,0.69,0.444,0.072,0.483,0.017,1.36,0.56,1.16,4.85,-0.03,3.85,0.03,98,0.02,0,0,1.6,-0.64,511,0.008,7,0.07,0.09,0,0,0,0,93,0.02,21,-0.29,0.032,-0.51
BigG00se,Support,Lucio,support,134,10284,1047,0.63,0,0.37,0.469,0.023,0.507,0.086,0.22,3.03,0.26,5.78,0.06,3.44,0.19,112,-0.06,0,0,17.8,1.54,213,0.047,0.81,0.056,-0.15,0,0,0,0,115,-0.05,20,-0.32,0.086,0.43
ArK,Support,Mercy,support,73,35904,1229,0.65,0.06,0.3,0.546,0.055,0.399,0.004,-0.45,0.15,-0.42,3.07,-0.39,3.96,0.06,95,-0.01,0,0,2.6,-0.42,712,0,0,0.037,-0.42,0,0,0,0,87,-0.05,32,0.08,0.048,-0.26
ArK,Support,Lucio,support,134,1162,1181,0.28,0,0.72,0.529,0.059,0.412,0.05,-0.3,2.58,0.07,5.16,-0.05,2.58,-0.11,72,-0.4,0,0,-2.9,-1.41,17,0,0,0,0,0,0,0,0,77,-0.37,25,-0.15,0,0
Wekeed,dps,Junkrat,defense,26,6952,1061,0.66,0.08,0.26,0.562,0.041,0.397,0.295,0.01,10.96,0.05,6.21,-0.04,4.32,-0.07,89,0.11,0,0,21.6,2.13,146,0.164,-0.17,0.089,-0.17,0,0,0,0,94,0.13,28,0.52,0.02,-0.84
