player,role,hero,hero.role,cfp,time_in_sec,rating,winrate,tierate,lossrate,fwin,ftie,floss,ptk,ptk_comp_to_avg,kills_per_10,kills_per_10_comp_to_avg,deaths_per_10,deaths_per_10_comp_to_avg,ults_per_10,ults_per_10_comp_to_avg,ttcu,ttcu_comp_to_avg,kpu,kpu_comp_to_avg,ult_eff,ult_eff_comp_to_avg,fights_fought,first_kills,first_kills_comp_to_avg,first_deaths,first_deaths_comp_to_avg,hsk,hsk_comp_to_avg,ult_kills,ult_kills_comp_to_avg,ttcfu,ttcfu_comp_to_avg,tuh,tuh_comp_to_avg,uoof,uoof_comp_to_avg,simple_model_role,pred_ri_role,pred_rs_role,pred_rsi_role,simple_model,pred_ri,pred_rs,pred_rsi
HagoPeun,Support,Zenyatta,Support,112,9621,993,0.57,0,0.43,0.48,0.056,0.465,0.095,-0.09,3.24,-0.13,6.55,0.05,4.74,0.38,86,-0.16,0,0,10.8,0.71,198,0.051,-0.07,0.152,0.43,0,0,0,0,94,-0.11,25,-0.17,0.123,0.52,985.4938698726301,1062.0257748236843,1061.5371533263608,1062.4675123980285,985.4938698726301,1025.0739724022187,1028.4868858263485,1027.0604807917339
HagoPeun,dps,Sombra,Offense,60,1104,1230,1,0,0,0.652,0.087,0.261,0.117,-0.17,4.89,0.02,3.26,-0.42,7.07,0.33,49,-0.27,0,0,7.5,0.23,23,0,0,0.13,0.4,0,0,0,0,58,-0.14,24,0.01,0,0,1136.8495106756234,1149.8524866334371,1151.931881146729,1151.442983422784,1136.8495106756234,1210.3106690308812,1210.3236716182328,1186.2633126718129
Neko,dps,Bastion,Defense,4,975,799,0.3,0,0.7,0.579,0,0.421,0.169,-0.26,6.77,-0.24,7.38,0,2.46,-0.17,89,-0.05,0,0,-32.9,-3.91,19,0.105,-0.12,0.105,-0.19,0,0,0,0,89,-0.06,70,1.26,0,0,1072.6113607999343,1001.5054836540784,993.4497843154069,995.3564262751656,1072.6113607999343,967.1501467461018,966.1243968923075,968.2905855586405
Neko,Support,Zenyatta,Support,112,28959,1104,0.52,0,0.48,0.504,0.048,0.449,0.132,0.25,5.12,0.38,7.13,0.15,3.77,0.1,99,-0.03,0,0,2.8,-0.56,566,0.076,0.38,0.129,0.22,0,0,0,0,104,-0.01,33,0.1,0.101,0.25,1006.6132616125826,1084.8920357704944,1088.2546963637205,1087.9452087464656,1006.6132616125826,1048.5798460834947,1053.9521480426406,1054.5652401696427
Neko,Support,Lucio,Support,134,2969,784,0.5,0,0.5,0.444,0.056,0.5,0.066,-0.06,2.43,0.01,7.68,0.41,3.23,0.11,103,-0.13,0,0,-6,-1.86,54,0.019,-0.27,0.074,0.12,0,0,0,0,102,-0.15,22,-0.25,0.067,0.12,953.8147822627013,1027.726383403469,1021.460838770321,1024.2509678753727,953.8147822627013,981.9243859175093,977.6557191488131,982.90134863919
Neko,Support,Ana,Support,112,2216,1299,0.28,0,0.72,0.37,0.043,0.587,0.054,-0.04,1.62,-0.1,5.14,-0.07,6.23,0.51,67,-0.23,0,0,3,-0.59,46,0.022,-0.08,0.109,0.28,0,0,0,0,58,-0.31,14,-0.54,0,0,888.696657731181,957.2220788174711,939.0817477384614,945.6947374676911,888.696657731181,1012.1234346501143,956.3605925110868,1035.865793445536
Neko,Support,Moira,Support,12,2988,1189,0.2,0,0.8,0.453,0.047,0.5,0.084,-0.03,3.01,0.03,5.62,-0.01,6.22,0.16,60,-0.08,0,0,8.9,-0.02,64,0.063,1.33,0.078,-0.18,0,0,0,0,53,-0.11,17,-0.01,0.161,0.2,961.7345541651835,1036.3012312585229,1031.479917409331,1033.8051040060366,961.7345541651835,1109.4483014877562,1082.3164169829197,1110.04649597605
Neko,off tank,Roadhog,Tank,90,951,1087,0.8,0,0.2,0.615,0,0.385,0.237,-0.01,8.83,0.12,6.31,0.09,4.42,0.49,60,-0.45,0,0,-21.5,-5.89,26,0.192,0.3,0.077,-0.12,0,0,0,0,79,-0.31,31,0.05,0.286,2.33,1104.290448409863,1077.8902053283919,1070.8958544168574,1072.8981557384423,1104.290448409863,1117.6116555316173,1112.1341796739862,1106.590866621734
Kalios, off tank,D.Va,Tank,148,12347,1010,0.42,0,0.58,0.471,0.053,0.475,0.19,0.06,7.14,0.17,5.44,0.18,0,-1,NaN,NaN,NaN,NaN,NaN,NaN,244,0.094,0.25,0.057,0.68,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,977.5740979701479,940.6926396475313,943.5882496938851,942.2382485175706,977.5740979701479,989.0435892856415,995.5445926549411,990.1367514069048
Kalios,off tank,Zarya,Tank,116,2550,799,0.15,0,0.85,0.431,0.052,0.517,0.177,0.01,6.12,0.02,8.24,0.47,4,0.43,98,-0.14,0,0,16.9,0.26,58,0.034,-0.51,0.086,0.25,0,0,0,0,88,-0.26,18,-0.32,0.059,0.26,942.3751117368936,902.5822047361811,908.2250261597262,905.9438298451064,942.3751117368936,923.7132238008334,916.0340426210508,936.5455294340624
